City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rikitea,PF,76.55,broken clouds,-23.1203,-134.9692,Pension Maro'i
14,Eyl,SO,79.9,clear sky,7.9803,49.8164,Amiin Hotel
17,Padang,ID,79.99,overcast clouds,-0.9492,100.3543,Mercure Padang
20,Kalmunai,LK,81.09,overcast clouds,7.4167,81.8167,VS Villa
24,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
25,Tall Kayf,TR,78.8,clear sky,37.0833,41.0667,
27,Mahibadhoo,MV,83.46,overcast clouds,3.7833,72.9667,Omadhoo Inn
30,Owando,CG,78.76,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
32,Candido Mendes,BR,84.27,light rain,-1.4467,-45.7167,Quebrada Do Mlk PJL
50,Hithadhoo,MV,84.34,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
55,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Vanimo,PG,77.49,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
57,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
60,Chandbali,IN,80.26,heavy intensity rain,20.7833,86.7667,KABITA HOMES
65,Bathsheba,BB,87.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
66,Cavalcante,BR,86.65,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
71,Butaritari,KI,83.37,broken clouds,3.0707,172.7902,Isles Sunset Lodge
73,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
75,Axim,GH,81.07,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
77,Atuona,PF,78.73,scattered clouds,-9.8,-139.0333,Villa Enata
78,Jamestown,US,79.09,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
80,Kailua,US,81.07,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
84,Gibara,CU,88.92,scattered clouds,21.1097,-76.1317,Sol y Mar
87,Playas,EC,76.89,scattered clouds,-2.6333,-80.3833,Hostal Promenade
90,Yarada,IN,84.52,broken clouds,17.65,83.2667,Jeevan
94,Marzuq,YE,78.19,clear sky,14.4,46.4667,
99,Semporna,MY,77.2,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
102,Bandarbeyla,SO,79.45,scattered clouds,9.4942,50.8122,JABIR HOTEL
108,Dasoguz,TM,84.2,dust,41.8363,59.9666,Hotel Erik
115,Presidencia Roque Saenz Pena,AR,79.0,broken clouds,-26.7852,-60.4388,Hotel Gualok
116,San Pedro,PH,83.43,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
118,Maniwaki,CA,75.58,overcast clouds,46.3834,-75.96600000000001,Centre Chateau Logue
122,Merauke,ID,75.7,overcast clouds,-8.4667,140.3333,
123,Pahrump,US,84.0,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
125,Kieta,PG,78.44,light rain,-6.2167,155.6333,Uruna Bay Retreat
129,Oriximina,BR,89.67,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
133,Maragogi,BR,79.38,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
136,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
140,Nago,JP,80.6,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
141,Bengkulu,ID,77.41,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
145,Raga,SS,77.27,overcast clouds,8.4596,25.678,
147,Harper,LR,80.82,scattered clouds,4.375,-7.7169,Screensaver
149,Humberto De Campos,BR,88.03,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
157,Cockburn Town,TC,79.11,clear sky,21.4612,-71.1419,Osprey Beach Hotel
164,Killin,US,80.6,clear sky,33.6123,-91.7412,US Forestry Department
165,Laguna De Perlas,NI,82.49,overcast clouds,12.3429,-83.6712,Hotel Best View
166,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
168,Auki,SB,76.06,overcast clouds,-8.7676,160.7034,Auki Motel
169,Salalah,OM,84.29,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
171,Hilo,US,78.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
175,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
177,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
180,Irbil,IQ,80.42,clear sky,36.1926,44.0106,Erbil International Hotel
182,Itarema,BR,84.31,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
187,Rio Branco,BR,84.2,broken clouds,-9.9747,-67.81,João Paulo Hotel
191,Garowe,SO,82.09,broken clouds,8.4054,48.4845,Curubo Hotel
192,Oussouye,SN,84.38,overcast clouds,12.485,-16.5469,Auberge du Routard
194,Santa Maria Del Oro,MX,88.57,scattered clouds,25.9333,-105.3667,Hotel Palacio Del Sol
198,Saint-Pie,CA,87.89,few clouds,45.5001,-72.8991,Camping Aqua Parc St-Pie
199,Kahului,US,79.54,broken clouds,20.8947,-156.47,Maui Seaside Hotel
203,Lorengau,PG,80.15,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
208,San Patricio,US,89.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
209,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Kudahuvadhoo,MV,83.75,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
216,Laguna,US,82.63,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
217,Russell,US,89.11,broken clouds,32.3502,-85.1999,Macs
219,Ullal,IN,83.35,scattered clouds,12.8,74.85,AK INTERNATIONAL LODGE
222,Mitsamiouli,KM,78.85,scattered clouds,-11.3847,43.2844,Foyer ADM
223,Cubarral,CO,77.25,broken clouds,3.7935,-73.8406,Hotel Shaloom
224,Eydhafushi,MV,82.11,overcast clouds,5.1033,73.0708,Soneva Fushi
231,Kantang,TH,77.54,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
232,Mairwa,IN,76.53,light rain,26.2333,84.15,Shri Krishna Dharmshala
