City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Souillac,MU,-20.5167,57.5167,73.78,94,75,4.9,broken clouds
Punta Arenas,CL,-53.15,-70.9167,39.31,60,40,18.21,scattered clouds
Kokstad,ZA,-30.5472,29.4241,50.68,73,40,3.49,scattered clouds
Hermanus,ZA,-34.4187,19.2345,52.0,91,100,3.09,overcast clouds
Zeya,RU,53.75,127.2667,41.05,85,100,3.49,overcast clouds
Vaini,TO,-21.2,-175.2,64.56,100,75,2.3,broken clouds
Pevek,RU,69.7008,170.3133,28.45,82,1,1.7,clear sky
Busselton,AU,-33.65,115.3333,53.04,65,98,12.71,overcast clouds
Rikitea,PF,-23.1203,-134.9692,76.55,70,67,22.79,broken clouds
Lompoc,US,34.6391,-120.4579,74.37,76,90,10.36,overcast clouds
Jackson,US,42.4165,-122.8345,67.75,49,1,0.0,clear sky
Port Alfred,ZA,-33.5906,26.891,60.69,74,90,2.48,overcast clouds
Bluff,NZ,-46.6,168.3333,41.45,84,99,11.01,overcast clouds
Tahoua,NE,14.8888,5.2692,104.0,5,0,6.91,clear sky
Eyl,SO,7.9803,49.8164,79.9,76,7,19.73,clear sky
Tiksi,RU,71.6872,128.8694,31.62,98,65,0.43,broken clouds
Tianpeng,CN,30.9866,103.9393,68.47,74,100,2.39,light rain
Padang,ID,-0.9492,100.3543,79.99,87,93,4.41,overcast clouds
Iqaluit,CA,63.7506,-68.5145,31.73,64,75,5.99,broken clouds
Mount Isa,AU,-20.7333,139.5,60.57,29,43,12.66,scattered clouds
Kalmunai,LK,7.4167,81.8167,81.09,67,100,8.41,overcast clouds
Porto Belo,BR,-27.1578,-48.5531,72.0,68,0,6.91,clear sky
Saskylakh,RU,71.9167,114.0833,37.17,98,100,8.23,overcast clouds
Hobart,AU,-42.8794,147.3294,46.26,82,90,1.01,overcast clouds
Georgetown,MY,5.4112,100.3354,83.89,86,20,1.14,few clouds
Tall Kayf,TR,37.0833,41.0667,78.8,14,0,9.22,clear sky
Kaitangata,NZ,-46.2817,169.8464,34.5,71,62,4.41,broken clouds
Mahibadhoo,MV,3.7833,72.9667,83.46,75,100,22.08,overcast clouds
Ribeira Brava,PT,32.65,-17.0667,72.01,73,92,1.99,overcast clouds
Zverinogolovskoye,RU,54.4586,64.8542,57.42,58,16,7.25,few clouds
Owando,CG,-0.4819,15.8999,78.76,69,88,1.14,overcast clouds
Mataura,NZ,-46.1927,168.8643,33.93,81,100,4.07,overcast clouds
Candido Mendes,BR,-1.4467,-45.7167,84.27,72,52,6.42,light rain
Sinegorye,RU,62.0788,150.477,37.31,91,100,4.43,light rain
Ruzhyn,UA,49.7228,29.2046,54.09,90,8,1.21,clear sky
Cape Town,ZA,-33.9258,18.4232,60.12,77,0,2.55,clear sky
Moorhead,US,46.8739,-96.7676,53.6,46,20,13.8,few clouds
Hasaki,JP,35.7333,140.8333,64.4,82,90,3.44,moderate rain
Albany,US,42.6001,-73.9662,91.09,44,45,1.99,scattered clouds
Pogar,RU,52.554,33.2591,58.14,93,100,4.47,moderate rain
Narsaq,GL,60.9167,-46.05,34.02,99,100,4.61,light rain
Lagoa,PT,39.05,-27.9833,59.74,61,6,16.89,clear sky
Husavik,IS,66.0449,-17.3389,57.11,62,98,2.98,overcast clouds
Asyut,EG,27.181,31.1837,95.18,13,0,11.1,clear sky
Mahebourg,MU,-20.4081,57.7,73.4,94,75,3.44,broken clouds
Clyde River,CA,70.4692,-68.5914,32.23,80,75,14.97,broken clouds
Saldanha,ZA,-33.0117,17.9442,57.2,82,100,4.61,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,73.24,47,74,12.84,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,100,90,8.25,light rain
Pisco,PE,-13.7,-76.2167,68.05,83,75,5.75,broken clouds
Hithadhoo,MV,-0.6,73.0833,84.34,70,100,21.27,overcast clouds
Sobolevo,RU,54.4299,31.8996,50.41,84,0,1.52,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,37,5.99,scattered clouds
Warrington,GB,53.3925,-2.5802,58.86,75,0,5.01,clear sky
Porto Novo,BJ,6.4965,2.6036,85.82,80,100,8.32,overcast clouds
Kapaa,US,22.0752,-159.319,78.78,84,40,1.01,scattered clouds
Vanimo,PG,-2.6741,141.3028,77.49,88,100,4.81,overcast clouds
Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,11.5,broken clouds
Ayan,RU,56.45,138.1667,39.76,67,95,4.94,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,72.01,71,91,3.13,overcast clouds
Chandbali,IN,20.7833,86.7667,80.26,79,100,24.07,heavy intensity rain
Bredasdorp,ZA,-34.5322,20.0403,53.6,87,100,2.3,overcast clouds
Carnarvon,AU,-24.8667,113.6333,59.07,63,97,9.22,overcast clouds
New Norfolk,AU,-42.7826,147.0587,46.0,67,100,5.01,overcast clouds
Norman Wells,CA,65.282,-126.8329,50.04,50,75,10.36,broken clouds
Bathsheba,BB,13.2167,-59.5167,87.8,55,40,23.02,scattered clouds
Cavalcante,BR,-13.7975,-47.4583,86.65,26,5,3.2,clear sky
Kuryk,KZ,43.2,51.65,66.04,83,100,16.42,overcast clouds
Codrington,AU,-38.2667,141.9667,54.03,81,94,15.5,overcast clouds
Tessalit,ML,20.1986,1.0114,100.22,5,100,7.09,overcast clouds
Cuamba,MZ,-14.8031,36.5372,62.37,75,56,4.03,broken clouds
Butaritari,KI,3.0707,172.7902,83.37,79,71,20.33,broken clouds
Vostok,RU,46.4856,135.8833,38.68,87,63,4.23,broken clouds
Avarua,CK,-21.2078,-159.775,80.65,78,100,5.75,overcast clouds
Barrow,US,71.2906,-156.7887,32.02,80,90,16.11,overcast clouds
Axim,GH,4.8699,-2.2405,81.07,82,20,10.87,few clouds
Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,33.44,moderate rain
Atuona,PF,-9.8,-139.0333,78.73,75,30,12.68,scattered clouds
Jamestown,US,42.097,-79.2353,79.09,75,90,5.01,light rain
Maarianhamina,AX,60.0973,19.9348,46.26,93,90,17.27,overcast clouds
Kailua,US,21.4022,-157.7394,81.07,74,75,10.36,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,75,6.91,broken clouds
Ushuaia,AR,-54.8,-68.3,29.86,100,90,27.63,overcast clouds
Upernavik,GL,72.7868,-56.1549,32.97,87,100,12.73,overcast clouds
Gibara,CU,21.1097,-76.1317,88.92,70,35,15.75,scattered clouds
Aksarka,RU,66.5606,67.7975,33.73,50,1,12.37,clear sky
Poum,NC,-20.2333,164.0167,71.55,63,90,15.32,overcast clouds
Playas,EC,-2.6333,-80.3833,76.89,81,34,10.67,scattered clouds
Beringovskiy,RU,63.05,179.3167,32.99,87,97,11.23,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,64.8,52,20,13.8,few clouds
Yarada,IN,17.65,83.2667,84.52,70,75,8.05,broken clouds
Ilulissat,GL,69.2167,-51.1,59.02,31,75,16.11,broken clouds
Hamilton,US,39.1834,-84.5333,70.84,94,90,1.99,light rain
Straumen,NO,63.8709,11.2999,64.4,34,0,6.91,clear sky
Marzuq,YE,14.4,46.4667,78.19,60,6,5.14,clear sky
Thompson,CA,55.7435,-97.8558,32.16,55,40,3.44,scattered clouds
Bukama,CD,-9.2,25.85,68.45,45,2,1.83,clear sky
Wajima,JP,37.4,136.9,59.61,73,100,9.53,light rain
East London,ZA,-33.0153,27.9116,63.54,88,75,5.75,broken clouds
Semporna,MY,4.4818,118.6112,77.2,83,83,1.43,broken clouds
Cidreira,BR,-30.1811,-50.2056,66.76,53,0,3.56,clear sky
Gold Coast,AU,-28.0,153.4333,60.01,93,40,1.01,scattered clouds
Bandarbeyla,SO,9.4942,50.8122,79.45,80,36,27.36,scattered clouds
Kenai,US,60.5544,-151.2583,63.03,60,1,12.66,clear sky
Dikson,RU,73.5069,80.5464,25.79,94,100,12.55,overcast clouds
Castro,BR,-24.7911,-50.0119,61.81,64,96,2.46,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,70.75,49,0,12.62,clear sky
Revelstoke,CA,50.9832,-118.2023,60.8,67,75,6.91,broken clouds
Dasoguz,TM,41.8363,59.9666,84.2,28,90,13.8,dust
Chulman,RU,56.8479,124.9104,31.23,97,100,1.57,overcast clouds
Baoqing,CN,46.3317,132.2111,44.73,89,68,4.83,broken clouds
Portland,US,45.5234,-122.6762,67.55,60,75,1.01,broken clouds
Geraldton,AU,-28.7667,114.6,53.6,58,73,17.27,light rain
Aykhal,RU,66.0,111.5,42.17,73,93,3.36,overcast clouds
Fortuna,US,40.5982,-124.1573,57.65,85,90,6.91,overcast clouds
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.0,35,78,3.29,broken clouds
