City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Buraydah,SA,2021-05-25 19:52:02,26.326,43.975,90.05,12,0,11.36
1,Bambous Virieux,MU,2021-05-25 19:54:47,-20.3428,57.7575,75.45,78,75,9.78
2,Yellowknife,CA,2021-05-25 19:53:59,62.456,-114.3525,44.33,48,1,3.0
3,Leningradskiy,RU,2021-05-25 19:54:47,69.3833,178.4167,33.55,86,86,7.9
4,Cherskiy,RU,2021-05-25 19:54:48,68.75,161.3,50.63,40,100,5.57
5,Longyearbyen,SJ,2021-05-25 19:54:48,78.2186,15.6401,30.04,74,75,12.66
6,Gouyave,GD,2021-05-25 19:54:48,12.1646,-61.7296,84.97,70,20,15.43
7,Barrow,US,2021-05-25 19:54:48,71.2906,-156.7887,28.67,85,100,4.36
8,Ushuaia,AR,2021-05-25 19:51:29,-54.8,-68.3,31.66,86,75,26.46
9,Punta Arenas,CL,2021-05-25 19:54:49,-53.15,-70.9167,37.51,75,40,16.75
10,Dingle,PH,2021-05-25 19:54:49,10.9995,122.6711,78.69,84,100,3.78
11,Puerto Ayora,EC,2021-05-25 19:54:49,-0.7393,-90.3518,84.16,85,39,8.01
12,Port Alfred,ZA,2021-05-25 19:54:49,-33.5906,26.891,63.86,91,85,11.1
13,Luderitz,NA,2021-05-25 19:54:49,-26.6481,15.1594,61.03,80,0,13.42
14,Busselton,AU,2021-05-25 19:54:50,-33.65,115.3333,46.04,77,100,9.33
15,Saint-Joseph,RE,2021-05-25 19:54:50,-21.3667,55.6167,70.16,81,44,9.42
16,Lerwick,GB,2021-05-25 19:54:50,60.1545,-1.1494,50.0,90,100,11.79
17,Avarua,CK,2021-05-25 19:54:50,-21.2078,-159.775,80.65,89,100,8.05
18,Klaksvik,FO,2021-05-25 19:54:51,62.2266,-6.589,50.92,91,97,16.08
19,Mitu,CO,2021-05-25 19:53:21,1.1983,-70.1733,73.69,97,100,2.42
20,Sistranda,NO,2021-05-25 19:54:51,63.7256,8.834,60.76,83,100,24.87
21,Kununurra,AU,2021-05-25 19:54:51,-15.7667,128.7333,66.18,94,4,0.0
22,Chokurdakh,RU,2021-05-25 19:54:51,70.6333,147.9167,33.04,77,10,7.52
23,Carnarvon,AU,2021-05-25 19:54:52,-24.8667,113.6333,50.07,81,81,10.36
24,Rikitea,PF,2021-05-25 19:54:52,-23.1203,-134.9692,76.17,81,61,9.91
25,Kavieng,PG,2021-05-25 19:54:52,-2.5744,150.7967,77.99,89,100,9.37
26,Talcahuano,CL,2021-05-25 19:54:52,-36.7167,-73.1167,60.48,77,0,12.66
27,Tuktoyaktuk,CA,2021-05-25 19:54:53,69.4541,-133.0374,30.2,86,90,9.22
28,Demyansk,RU,2021-05-25 19:54:53,57.643,32.466,52.11,78,100,4.92
29,Saskylakh,RU,2021-05-25 19:54:53,71.9167,114.0833,43.41,63,100,4.14
30,Kaseda,JP,2021-05-25 19:53:01,31.4167,130.3167,64.85,60,100,7.72
31,Gilgit,PK,2021-05-25 19:54:53,35.9221,74.3087,66.87,46,60,2.33
32,Sola,VU,2021-05-25 19:54:54,-13.8833,167.55,77.5,60,98,16.67
33,Chuy,UY,2021-05-25 19:54:54,-33.6971,-53.4616,59.81,66,1,11.43
34,Cayenne,GF,2021-05-25 19:54:54,4.9333,-52.3333,84.24,85,75,5.99
35,Kapaa,US,2021-05-25 19:54:54,22.0752,-159.319,81.48,67,9,4.0
36,Price,US,2021-05-25 19:54:54,39.5994,-110.8107,74.71,21,61,7.99
37,Myanaung,MM,2021-05-25 19:54:55,18.2833,95.3167,77.74,86,100,5.23
38,Sao Filipe,CV,2021-05-25 19:54:55,14.8961,-24.4956,75.02,71,0,9.73
39,Codrington,AU,2021-05-25 19:54:55,-38.2667,141.9667,52.21,76,92,24.38
40,Te Anau,NZ,2021-05-25 19:54:55,-45.4167,167.7167,34.68,79,95,1.12
41,Hilo,US,2021-05-25 19:50:02,19.7297,-155.09,80.8,77,20,6.91
42,Albany,US,2021-05-25 19:52:30,42.6001,-73.9662,82.67,54,97,3.0
43,Victoria,HK,2021-05-25 19:50:49,22.2855,114.1577,85.32,90,90,1.01
44,Ponta Do Sol,PT,2021-05-25 19:54:56,32.6667,-17.1,66.83,56,91,6.08
45,Dikson,RU,2021-05-25 19:54:56,73.5069,80.5464,16.12,96,66,5.82
46,Byron Bay,AU,2021-05-25 19:54:56,-28.65,153.6167,55.87,90,3,3.8
